,Movie Name,IMDB Rating,Year of release
0,Pather Panchali,8.5,1955
1,Gol Maal,8.5,1979
2,Ratsasan,8.5,2018
3,Nayakan,8.5,1987
4,Anbe Sivam,8.5,2003
5,Apur Sansar,8.4,1959
6,Natsamrat,8.4,2016
7,Kireedam,8.4,1989
8,Pariyerum Perumal,8.4,2018
9,Black Friday,8.4,2004
10,Manichitrathazhu,8.4,1993
11,Thevar Magan,8.4,1992
12,96,8.4,2018
13,Kumbalangi Nights,8.4,2019
14,3 Idiots,8.4,2009
15,Taare Zameen Par,8.3,2007
16,Visaaranai,8.3,2015
17,Thalapathi,8.3,1991
18,Aparajito,8.3,1956
19,Anand,8.3,1971
20,Jaane Bhi Do Yaaro,8.3,1983
21,Asuran,8.3,2019
22,Pyaasa,8.3,1957
23,Guide,8.3,1965
24,Kannathil Muthamittal,8.2,2002
25,Chupke Chupke,8.2,1975
26,Kaithi,8.2,2019
27,Jersey,8.2,2019
28,Vikram Vedha,8.2,2017
29,Thani Oruvan,8.2,2015
30,Vada Chennai,8.2,2018
31,Soorarai Pottru,8.2,2020
32,Drishyam,8.2,2013
33,Khosla Ka Ghosla!,8.2,2006
34,Aruvi,8.2,2016
35,Peranbu,8.2,2018
36,Super Deluxe,8.2,2019
37,Agent Sai Srinivasa Athreya,8.2,2019
38,Tumbbad,8.2,2018
39,Andhadhun,8.2,2018
40,Mahanati,8.2,2018
41,Kaakkaa Muttai,8.2,2014
42,Premam,8.2,2015
43,Dhuruvangal Pathinaaru,8.2,2016
44,Satya,8.2,1998
45,Shahid,8.2,2012
46,Bangalore Days,8.2,2014
47,Mudhalvan,8.1,1999
48,Soodhu Kavvum,8.1,2013
49,Anniyan,8.1,2005
50,Gangs of Wasseypur,8.1,2012
51,Papanasam,8.1,2015
52,Jigarthanda,8.1,2014
53,Bhaag Milkha Bhaag,8.1,2013
54,Paan Singh Tomar,8.1,2012
55,Talvar,8.1,2015
56,"Swades: We, the People",8.1,2004
57,Hera Pheri,8.1,2000
58,Sholay,8.1,1975
59,Drishyam,8.1,2015
60,Nil Battey Sannata,8.1,2015
61,Pithamagan,8.1,2003
62,Black,8.1,2005
63,Chak De! India,8.1,2007
64,Jo Jeeta Wohi Sikandar,8.1,1992
65,Sairat,8.1,2016
66,Mughal-E-Azam,8.1,1960
67,Charulata,8.1,1964
68,Rang De Basanti,8.1,2006
69,Ustad Hotel,8.1,2012
70,Queen,8.1,2013
71,Udaan,8.1,2010
72,Article 15,8.1,2019
73,Zindagi Na Milegi Dobara,8.1,2011
74,A Wednesday,8.1,2008
75,Dil Chahta Hai,8.1,2001
76,Munna Bhai M.B.B.S.,8.1,2003
77,Sarfarosh,8.1,1999
78,Andaz Apna Apna,8.1,1994
79,Masaan,8.1,2015
80,OMG: Oh My God!,8.1,2012
81,Roja,8.1,1992
82,Lagaan: Once Upon a Time in India,8.1,2001
83,Maheshinte Prathikaaram,8.1,2016
84,Theeran adhigaaram ondru,8.1,2017
85,Kahaani,8.1,2012
86,Alai Payuthey,8.1,2000
87,PK,8.1,2014
88,Baasha,8.1,1995
89,Uri: The Surgical Strike,8.1,2018
90,Iqbal,8.1,2005
91,Pink,8.0,2016
92,Barfi!,8.0,2012
93,The Legend of Bhagat Singh,8.0,2002
94,Bommarillu,8.0,2006
95,Lucia,8.0,2013
96,Bombay,8.0,1995
97,Maqbool,8.0,2003
98,Omkara,8.0,2006
99,Section 375,8.0,2019
